Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 95,562.22434.peg.4934,unique,putative RNA helicase_1,59
Cluster 101,562.22730.peg.3525,unique,RatA homolog_16,13
Cluster 104,562.23665.peg.474,accessory,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_23,1566
Cluster 105,562.22903.peg.3532,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_13",7
Cluster 107,562.12959.peg.1833,unique,Polyketide synthase modules and related proteins_1,15
Cluster 108,562.22464.peg.3686,unique,putative surface-exposed virulence protein_2,37
Cluster 109,562.22510.peg.1028,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_16,7
Cluster 112,562.23584.peg.1180,accessory,COG3210: Large exoproteins involved in heme utilization or adhesion_59,263
Cluster 113,562.22507.peg.2921,accessory,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_8,1171
Cluster 116,562.22618.peg.2293,unique,putative surface-exposed virulence protein_4,119
Cluster 117,562.23221.peg.2088,unique,putative surface-exposed virulence protein_15,8
Cluster 123,562.22430.peg.4890,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_2,18
Cluster 124,562.23675.peg.2487,unique,putative surface-exposed virulence protein_20,21
Cluster 126,562.17721.peg.3310,unique,DNA helicase related protein_1,9
Cluster 130,562.23914.peg.2872,unique,Invasin_61,12
Cluster 132,562.22758.peg.4534,unique,Bacteriophage N4 adsorption protein B_14,120
Cluster 134,562.23522.peg.4190,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_57,103
Cluster 137,562.22812.peg.4378,accessory,Polyketide synthase modules and related proteins_42,457
Cluster 138,562.22988.peg.2791,unique,Invasin_37,77
Cluster 140,562.23275.peg.10,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_20,12
Cluster 144,562.22590.peg.2551,unique,RatA homolog_8,9
Cluster 148,562.31452.peg.2719,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_29",20
Cluster 149,562.12960.peg.1621,accessory,Uncharacterized lipoprotein YdeK_1,462
Cluster 151,562.22755.peg.3729,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_28,88
Cluster 153,562.23649.peg.3464,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_32",23
Cluster 154,562.22489.peg.4430,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_7,22
Cluster 155,562.22435.peg.3442,unique,RatA homolog_4,95
Cluster 161,562.22661.peg.4320,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_19,80
Cluster 162,562.22436.peg.3525,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_3",80
Cluster 166,562.23207.peg.3172,unique,"Phage tail tip, host specificity protein J_77",19
Cluster 173,562.22661.peg.3576,unique,DNA phosphorothioation-dependent restriction protein DptH / AAA-like domain_2,52
Cluster 174,562.22429.peg.2602,unique,DNA phosphorothioation-dependent restriction protein DptH / AAA-like domain_1,29
Cluster 179,562.23173.peg.3240,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_17",8
Cluster 182,562.16324.peg.2895,unique,Cell surface protein_2,23
Cluster 183,562.22448.peg.4123,unique,Polyketide synthase modules and related proteins_10,66
Cluster 184,562.22639.peg.3708,unique,putative surface-exposed virulence protein_6,29
Cluster 186,562.22485.peg.5193,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_6,21
Cluster 190,562.23849.peg.975,core,Alpha-2-macroglobulin_7,1951
Cluster 195,562.22610.peg.4624,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_44,39
Cluster 196,562.22431.peg.1329,unique,Regulator of nonsense transcripts 1 homolog_1,18
Cluster 197,562.22524.peg.800,unique,Superfamily I DNA and RNA helicase and helicase subunit_1,72
Cluster 201,562.22879.peg.2698,unique,"Type II restriction enzyme, methylase subunits_3",56
Cluster 206,562.22643.peg.2687,unique,Invasin_20,8
Cluster 208,562.22458.peg.4857,unique,Rhs-family protein_3,125
Cluster 210,562.12960.peg.3962,accessory,Cell surface protein_1,238
Cluster 217,562.22474.peg.4249,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_5,45
Cluster 218,562.23689.peg.4833,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_60,35
Cluster 219,562.22430.peg.4315,accessory,Polyketide synthase modules and related proteins_6,575
Cluster 222,562.23553.peg.3759,unique,Uncharacterized lipoprotein YdeK_28,86
Cluster 225,562.7576.peg.1732,unique,"Phage tail tip, host specificity protein J_204",5
Cluster 229,562.19186.peg.939,unique,"Phage tail tip, host specificity protein J_4",65
Cluster 234,562.22519.peg.28,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_4,21
Cluster 235,562.42844.peg.372,unique,Putative Rhs-family protein_56,35
Cluster 237,562.22608.peg.3883,accessory,Putative lipoprotein AcfD-like_4,1614
Cluster 244,562.22660.peg.2787,accessory,Probable ATP-dependent helicase lhr (EC 3.6.1.-)_3,731
Cluster 245,562.22480.peg.3294,unique,Cell surface protein_4,17
Cluster 248,562.23073.peg.212,accessory,UPF0192 protein YfaS_9,1885
Cluster 249,562.23675.peg.3654,accessory,Uncharacterized outer membrane protein YpjA_21,357
Cluster 250,562.23245.peg.2468,unique,"Phage tail tip, host specificity protein J_82",9
Cluster 253,562.23235.peg.3864,unique,putative membrane protein_62,66
Cluster 259,562.12959.peg.1419,core,Glutamate synthase [NADPH] large chain (EC 1.4.1.13)_1,1970
Cluster 261,562.22635.peg.3747,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_7",13
Cluster 263,562.23368.peg.37,unique,Lhr-like helicases_2,16
Cluster 264,562.42643.peg.4727,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_154,13
Cluster 266,562.23606.peg.4596,unique,Protein RhsD_83,134
Cluster 268,562.42759.peg.1375,unique,Lhr-like helicases_3,26
Cluster 270,562.22470.peg.4410,unique,T6SS PAAR-repeat protein / RhaS protein_9,13
Cluster 272,562.23187.peg.2358,unique,RatA homolog_22,7
Cluster 276,562.7702.peg.2021,unique,Uncharacterized lipoprotein YdeK_44,8
Cluster 283,562.12959.peg.4108,core,Chromosome partition protein MukB_1,1969
Cluster 285,562.23187.peg.4834,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_109,90
Cluster 288,562.22477.peg.3098,unique,Lhr-like helicases_1,21
Cluster 293,562.42759.peg.4617,unique,Phage tail fiber protein_98,5
Cluster 299,562.22444.peg.4560,unique,"Non-ribosomal peptide synthetase modules, siderophore biosynthesis_1",11
Cluster 301,562.22553.peg.30,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_6,12
Cluster 306,562.22430.peg.5,accessory,Polyketide synthase modules and related proteins_2,575
Cluster 315,562.23892.peg.2581,unique,putative surface-exposed virulence protein_22,6
Cluster 319,562.12960.peg.575,unique,Protein RhsD_1,159
Cluster 321,562.7572.peg.4908,unique,Invasin_68,103
Cluster 322,562.23298.peg.4587,unique,Uncharacterized lipoprotein YdeK_21,36
Cluster 323,562.23220.peg.4089,accessory,Putative adhesin_11,1859
Cluster 325,562.28563.peg.648,unique,Protein RhsD_91,79
Cluster 330,562.42697.peg.3803,unique,Protein RhsD_123,19
Cluster 333,562.16325.peg.3345,unique,Protein RhsB_2,76
Cluster 334,562.12959.peg.1338,core,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_1,1970
Cluster 335,562.22544.peg.1227,unique,DNA translocase FtsK_3,13
Cluster 336,562.7775.peg.4579,unique,"Phage tail fiber, side tail fiber protein Stf_600",10
Cluster 337,562.23608.peg.5263,unique,Protein RhsD_86,39
Cluster 339,562.23855.peg.4651,unique,Invasin_57,56
Cluster 341,562.22564.peg.4079,accessory,Per-activated serine protease autotransporter enterotoxin EspC_11,660
Cluster 345,562.22628.peg.4654,unique,Protein RhsD_25,24
Cluster 346,562.22586.peg.2879,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_8",32
Cluster 348,562.23433.peg.4278,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_51,13
Cluster 351,562.22485.peg.2979,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_6",19
Cluster 353,562.23624.peg.3080,unique,"protein kinase, putative_1",7
Cluster 354,562.23178.peg.1781,accessory,DNA translocase FtsK_7,721
Cluster 355,562.22722.peg.1903,unique,DNA translocase FtsK_4,7
Cluster 359,562.22449.peg.4678,unique,Per-activated serine protease autotransporter enterotoxin EspC_1,41
Cluster 363,562.16326.peg.1980,unique,Protein RhsA_1,30
Cluster 366,562.7705.peg.5160,accessory,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_50",330
Cluster 368,562.22799.peg.4634,accessory,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_12",824
Cluster 374,562.42697.peg.5026,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_37",26
Cluster 375,562.22511.peg.4829,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_7",25
Cluster 376,562.22576.peg.4348,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_15,6
Cluster 379,562.22982.peg.1370,accessory,DNA translocase FtsK_6,721
Cluster 381,562.22785.peg.2917,unique,putative surface-exposed virulence protein_12,6
Cluster 383,562.45852.peg.3938,accessory,T6SS component TssM (IcmF/VasK)_42,377
Cluster 386,562.7653.peg.1712,unique,DNA translocase FtsK_20,46
Cluster 392,562.22433.peg.2450,core,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)_1",1970
Cluster 393,562.22462.peg.4355,core,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_1,1970
Cluster 395,562.31452.peg.2720,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_30",21
Cluster 397,562.22892.peg.1471,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_14",7
Cluster 401,562.7638.peg.1952,unique,Phage protein_712,101
Cluster 405,562.7732.peg.3454,unique,AidA-I adhesin-like protein_82,156
Cluster 406,562.13502.peg.2780,accessory,DNA translocase FtsK_2,433
Cluster 408,562.22962.peg.1024,unique,DNA translocase FtsK_5,6
Cluster 410,562.23497.peg.1593,unique,Probable ATP-dependent helicase lhr (EC 3.6.1.-)_9,17
Cluster 411,562.22451.peg.4839,unique,primase_1,30
Cluster 413,562.22453.peg.3866,unique,IncF plasmid conjugative transfer protein TraG_7,9
Cluster 415,562.23885.peg.1169,core,Transcriptional repressor of PutA and PutP / Proline dehydrogenase (EC 1.5.5.2) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)_7,1966
Cluster 420,562.23025.peg.2274,accessory,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_20",408
Cluster 422,562.7565.peg.4874,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_41",7
Cluster 423,562.22626.peg.4279,unique,IncP-type DNA transfer primase TraC_3,5
Cluster 424,562.13502.peg.76,unique,IncF plasmid conjugative transfer protein TraG_3,9
Cluster 427,562.42857.peg.584,core,ATP-dependent helicase HrpA_11,1948
Cluster 428,562.22441.peg.2033,unique,Alpha-2-macroglobulin_2,12
Cluster 432,562.22437.peg.2363,unique,RatA homolog_5,6
Cluster 435,562.23691.peg.712,unique,DNA translocase FtsK_8,9
Cluster 440,562.22463.peg.4089,unique,Per-activated serine protease autotransporter enterotoxin EspC_2,37
Cluster 444,562.22996.peg.4365,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_16",6
Cluster 446,562.23807.peg.515,unique,Per-activated serine protease autotransporter enterotoxin EspC_39,5
Cluster 448,562.42818.peg.1128,core,"Enterobactin synthetase component F, serine activating enzyme (EC 2.7.7.-)_4",1962
Cluster 450,562.7629.peg.4956,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_46",17
Cluster 452,562.23005.peg.2479,unique,ATP-dependent helicase HrpA_4,15
Cluster 454,562.7779.peg.951,unique,DNA translocase FtsK_22,6
Cluster 455,562.16466.peg.4077,unique,Uncharacterized lipoprotein YdeK_3,54
Cluster 456,562.23441.peg.1063,unique,Invasin_42,6
Cluster 457,562.22470.peg.4404,unique,T6SS component TssM (IcmF/VasK)_9,29
Cluster 460,562.22576.peg.4189,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_8",9
Cluster 464,562.22720.peg.3137,unique,"Phage tail tip, host specificity protein J_32",7
Cluster 466,562.23022.peg.1326,core,Uncharacterized protein YhdP_7,1957
Cluster 475,562.22578.peg.3459,accessory,Molybdate metabolism regulator_9,1311
Cluster 476,562.22670.peg.711,unique,"CDP-glycerol: N-acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase_2",146
Cluster 478,562.23468.peg.3695,unique,Phage internal (core) protein_2,9
Cluster 480,562.22434.peg.4234,unique,IncP-type DNA transfer primase TraC_1,9
Cluster 481,562.22556.peg.3395,unique,Putative haemolysin/cytolysin secreted via TPS pathway_1,15
Cluster 482,562.22807.peg.2613,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_13",10
Cluster 483,562.23330.peg.3520,accessory,Molybdate metabolism regulator_28,639
Cluster 486,562.22467.peg.4955,unique,"Phage tail tip, host specificity protein J_7",39
Cluster 487,562.22862.peg.4121,unique,DEAD-box helicase-related protein_4,7
Cluster 491,562.22711.peg.1061,unique,UPF0192 protein YfaS_5,5
Cluster 492,562.22908.peg.96,unique,UPF0192 protein YfaS_6,19
Cluster 494,562.23576.peg.739,accessory,Uncharacterized protein YfaL_15,1788
Cluster 495,562.23808.peg.2147,core,Inner membrane component of TAM transport system_4,1969
Cluster 496,562.34089.peg.5259,accessory,ABC transporter protein IroC_11,726
Cluster 497,562.7785.peg.2339,unique,"Phage tail tip, host specificity protein J_315",16
Cluster 498,562.22501.peg.5052,unique,"Phage tail fiber, side tail fiber protein Stf_44",26
Cluster 501,562.7778.peg.4846,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_112,27
Cluster 504,562.12959.peg.2757,accessory,Molybdate metabolism regulator_1,490
Cluster 507,562.22763.peg.4472,unique,Molybdate metabolism regulator_18,5
Cluster 510,562.22446.peg.4263,core,Respiratory nitrate reductase alpha chain (EC 1.7.99.4)_8,1952
Cluster 512,562.12959.peg.3734,core,Respiratory nitrate reductase alpha chain (EC 1.7.99.4)_1,1965
Cluster 523,562.23356.peg.4218,unique,Rhs-family protein_37,5
Cluster 527,562.22435.peg.2292,unique,Uncharacterized protein YfaL_1,123
Cluster 531,562.45400.peg.1457,accessory,"Phage tail tip, host specificity protein J_191",662
Cluster 532,562.7584.peg.4503,unique,"Phage tail tip, host specificity protein J_209",9
Cluster 533,562.22986.peg.4692,accessory,"Phage tail tip, host specificity protein J_59",346
Cluster 534,562.42794.peg.1985,unique,Protein RhsD_171,23
Cluster 540,562.12959.peg.583,core,5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)_1,1969
Cluster 542,562.22605.peg.695,unique,"Phage tail tip, host specificity protein J_21",7
Cluster 543,562.22834.peg.814,accessory,Uncharacterized protein YehI_6,1782
Cluster 544,562.16325.peg.3119,unique,Uncharacterized protein sporadically distributed in bacteria and archaea (STM4496 in Salmonella)_1,7
Cluster 547,562.22930.peg.856,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_10",14
Cluster 551,562.22908.peg.810,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_9",8
Cluster 554,562.22514.peg.3696,unique,"Phage tail fiber, side tail fiber protein Stf_52",6
Cluster 558,562.22572.peg.1380,core,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)_1",1968
Cluster 560,562.22432.peg.4957,accessory,Uncharacterized protein sporadically distributed in bacteria and archaea (STM4496 in Salmonella)_2,191
Cluster 561,562.22458.peg.4410,unique,Glycosyltransferase_11,76
Cluster 563,562.42732.peg.4229,unique,Protein RhsD_141,9
Cluster 570,562.22530.peg.26,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_5,5
Cluster 576,562.7623.peg.2763,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_18",16
Cluster 578,562.12960.peg.5117,unique,IncF plasmid conjugative transfer protein TraG_1,17
Cluster 579,562.22474.peg.4572,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_4",65
Cluster 581,562.22719.peg.163,unique,Uncharacterized protein sporadically distributed in bacteria and archaea (STM4496 in Salmonella)_4,9
Cluster 586,562.22432.peg.4958,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_3",78
Cluster 587,562.22439.peg.4487,unique,Relaxase_1,8
Cluster 588,562.22501.peg.5053,unique,"Phage tail fiber, side tail fiber protein Stf_45",5
Cluster 589,562.12959.peg.2501,accessory,Hybrid sensory histidine kinase in two-component regulatory system with EvgA_1,1899
Cluster 592,562.22512.peg.3180,accessory,"Phage tail tip, host specificity protein J_11",337
Cluster 594,562.7671.peg.4380,unique,Protein RhsD_253,9
Cluster 597,562.45850.peg.1124,unique,Putative lipoprotein AcfD-like_27,7
Cluster 601,562.23635.peg.4993,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_56,6
Cluster 605,562.22956.peg.4727,unique,"Beta-1,3-glucosyltransferase_4",29
Cluster 608,562.42818.peg.1369,core,Exodeoxyribonuclease V beta chain (EC 3.1.11.5)_3,1967
Cluster 613,562.42778.peg.2916,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_88,8
Cluster 615,562.12961.peg.3935,core,Pyruvate-flavodoxin oxidoreductase_1,1965
Cluster 616,562.22430.peg.4467,accessory,T6SS component TssM (IcmF/VasK)_5,601
Cluster 617,562.23757.peg.3716,accessory,Putative superfamily I DNA helicases_21,478
Cluster 620,562.12960.peg.2214,unique,DEAD/DEAH box helicase domain protein_1,8
Cluster 621,562.12959.peg.3931,core,Transcription-repair coupling factor_1,1970
Cluster 622,562.12959.peg.5269,unique,DNA polymerase III alpha subunit (EC 2.7.7.7)_1,64
Cluster 623,562.13502.peg.5406,unique,AidA-I adhesin-like protein_4,63
Cluster 625,562.12961.peg.2234,accessory,Type I restriction enzyme EcoKI restriction protein (EC 3.1.21.3)_1,248
Cluster 626,562.23555.peg.4994,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_58,7
Cluster 636,562.7779.peg.2275,accessory,Diguanylate cyclase (EC 2.7.7.65) => DgcE_27,1903
Cluster 637,562.7784.peg.3973,core,DNA polymerase III alpha subunit (EC 2.7.7.7)_6,1967
Cluster 640,562.7740.peg.5160,accessory,"Phage tail tip, host specificity protein J_287",380
Cluster 641,562.22428.peg.2687,accessory,Cellulose synthase operon protein C_5,1846
Cluster 647,562.22495.peg.2291,unique,Phage tape measure protein Mup42_6,71
Cluster 648,562.7567.peg.758,unique,T1SS secreted agglutinin RTX_35,5
Cluster 649,562.22451.peg.3563,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_4,17
Cluster 654,562.42677.peg.1576,unique,"Phage tail fiber, side tail fiber protein Stf_374",6
Cluster 656,562.22569.peg.885,core,Mechanosensitive channel MscK_1,1969
Cluster 665,562.22798.peg.3661,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_10,9
Cluster 670,562.23091.peg.4811,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_100,37
Cluster 673,562.22514.peg.4329,unique,T6SS component TssM (IcmF/VasK)_11,7
Cluster 674,562.28434.peg.2032,unique,Uncharacterized outer membrane protein YpjA_25,26
Cluster 677,562.19186.peg.4477,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_9",95
Cluster 683,562.7649.peg.4529,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_107,9
Cluster 686,562.42845.peg.5102,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_165,85
Cluster 689,562.7565.peg.2776,unique,Cytotoxic necrotizing factor_10,28
Cluster 690,562.23555.peg.4512,unique,Uncharacterized lipoprotein YdeK_29,14
Cluster 691,562.22791.peg.780,accessory,T6SS component TssM (IcmF/VasK)_18,856
Cluster 694,562.22720.peg.3082,unique,Exodeoxyribonuclease VIII (EC 3.1.11.-)_24,5
Cluster 696,562.22430.peg.4630,accessory,Choline trimethylamine-lyase_1,212
Cluster 702,562.42690.peg.4820,unique,Uncharacterized outer membrane protein YpjA_32,30
Cluster 704,562.7583.peg.3087,unique,Protein RhsB_80,19
Cluster 709,562.12959.peg.2020,core,Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)_1,1967
Cluster 713,562.22547.peg.5016,unique,"Phage tail fiber, side tail fiber protein Stf_62",9
Cluster 714,562.22847.peg.5035,unique,Protein RhsD_50,21
