,mi,chi2,anova,svm,betweenness,weighted_betweenness,closeness,weighted_closeness,eigenvector,page_rank,degree,weighted_degree,clustering_coef
Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein_4 (sulfamethoxazole),29.0,20.0,,24.0,100.0,722.0,439.0,,,232.0,,,
Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein_7 (sulfamethoxazole),1.0,1.0,,1.0,1.0,110.0,12.0,196.0,,23.0,435.0,435.0,
Dihydropteroate synthase (EC 2.5.1.15)_1 (sulfamethoxazole),,,,,,,,,,,,,
Dihydropteroate synthase (EC 2.5.1.15)_8 (sulfamethoxazole),,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2 (sulfamethoxazole)",,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1 (sulfamethoxazole)",,,,,,,,,,,,,
"Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)_1 (tetracycline)",,,,,,,,,,,,,80.0
"iron aquisition outermembrane yersiniabactin receptor (FyuA,Psn,pesticin receptor) @ Outer membrane receptor for ferric siderophore_2 (tetracycline)",,,,,,,,,,,,,
"Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)_4 (tetracycline)",,,,,,,,,,,,,
"Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)_1 (tetracycline)",,,,,,,,,,,,,
Outer membrane channel TolC (OpmH)_1 (tetracycline),,,,,,,,,,,,,
"Tetracycline resistance, MFS efflux pump => Tet(A)_6 (tetracycline)",1.0,1.0,,1.0,192.0,101.0,,,,210.0,444.0,444.0,
"Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum_1 (tetracycline)",,,,,387.0,380.0,517.0,572.0,932.0,686.0,524.0,524.0,
"Tetracycline resistance, MFS efflux pump => Tet(B)_1 (tetracycline)",7.0,8.0,,13.0,,,,,,,,,
"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA_1 (tetracycline)",,,,,,,,,,,,,
"Tetracycline resistance, MFS efflux pump => Tet(D)_1 (tetracycline)",,,,,,,,,,,,,
"Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK_1 (tetracycline)",,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3 (tetracycline)",,,,,,,,,,,,,
"Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)_9 (tetracycline)",,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2 (tetracycline)",,,,,,,,,,29.0,116.0,116.0,
"Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK_4 (tetracycline)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_3 (tetracycline)",,,,,,,,,,,,,
"Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)_8 (tetracycline)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_1 (tetracycline)",,,,,,,,,,,,,
"Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)_5 (tetracycline)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_6 (tetracycline)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_2 (tetracycline)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarR_1 (tetracycline),,,,,,,,,,,,,
DNA-binding protein H-NS_6 (tetracycline),,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_8 (tetracycline)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarA_1 (tetracycline),,,,,,,,,,,,,
DNA-binding protein H-NS_1 (tetracycline),,,,,,,,,,,,,
DNA-binding protein H-NS_7 (tetracycline),,,,,,,,,,,,,
DNA-binding protein H-NS_3 (tetracycline),,,,,,,,,,,,,
DNA-binding protein H-NS_5 (tetracycline),,,,,,,,,,,,,
DNA-binding protein H-NS_2 (tetracycline),,,,,,,,,,,,,
DNA-binding protein H-NS_4 (tetracycline),,,,,,,,,,,,,
SSU ribosomal protein S10p (S20e)_1 (tetracycline),,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_7 (tetracycline)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarB_2 (tetracycline),,,,,77.0,172.0,37.0,164.0,812.0,89.0,234.0,234.0,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1 (tetracycline)",,,,,,,,,,30.0,118.0,118.0,
"Transcriptional regulator of acrAB operon, AcrR_5 (tetracycline)",,,,,,,,,,,,,
AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump_2 (tetracycline),,,,,,,,,,,,,
Right origin-binding protein_3 (tetracycline),,,,,,,,,,,,,
"Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)_1 (cefalothin)",,,342.0,,,,,,,,,,
"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA_1 (cefalothin)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_3 (cefalothin)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_1 (cefalothin)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_6 (cefalothin)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_2 (cefalothin)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarR_1 (cefalothin),,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_8 (cefalothin)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarA_1 (cefalothin),,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_7 (cefalothin)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarB_2 (cefalothin),,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_5 (cefalothin)",,,,,,,,,,,,,
AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump_2 (cefalothin),,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3 (trimethoprim)",,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2 (trimethoprim)",,,,,,,,,,294.0,,,814.0
Dihydrofolate reductase (EC 1.5.1.3)_8 (trimethoprim),,,,,,,,,,,,,
Dihydrofolate reductase (EC 1.5.1.3)_1 (trimethoprim),21.0,33.0,,19.0,,,,,,864.0,,,
Dihydrofolate reductase (EC 1.5.1.3)_7 (trimethoprim),505.0,738.0,,225.0,,,,,,,,,563.0
Dihydrofolate reductase (EC 1.5.1.3)_4 (trimethoprim),,,,193.0,106.0,533.0,834.0,997.0,872.0,282.0,877.0,877.0,685.0
Dihydrofolate reductase (EC 1.5.1.3)_6 (trimethoprim),,,,,,,,,,,,,
Dihydrofolate reductase (EC 1.5.1.3)_2 (trimethoprim),,,,,,,,,,,,,
Dihydrofolate reductase (EC 1.5.1.3)_9 (trimethoprim),294.0,350.0,,29.0,475.0,653.0,485.0,419.0,810.0,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1 (trimethoprim)",,,,,,,,,,295.0,,,815.0
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3 (amoxicillin)",,,,,,,,,,,,,
Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family_1 (amoxicillin),46.0,116.0,,70.0,593.0,561.0,545.0,705.0,,340.0,339.0,339.0,945.0
Class A beta-lactamase (EC 3.5.2.6) => TEM family_1 (amoxicillin),1.0,1.0,,1.0,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2 (amoxicillin)",393.0,612.0,,409.0,176.0,866.0,217.0,285.0,,332.0,365.0,365.0,830.0
Subclass B1 beta-lactamase (EC 3.5.2.6) => NDM family_1 (amoxicillin),,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1 (amoxicillin)",409.0,644.0,,471.0,177.0,867.0,218.0,286.0,,333.0,366.0,366.0,831.0
"Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)_1 (ampicillin)",,,,,,,,,,,,,
"iron aquisition outermembrane yersiniabactin receptor (FyuA,Psn,pesticin receptor) @ Outer membrane receptor for ferric siderophore_2 (ampicillin)",,,,740.0,,,,,,,,,
"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA_1 (ampicillin)",,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3 (ampicillin)",,,,,,,,,,,,,
Class A beta-lactamase (EC 3.5.2.6) => TEM family_1 (ampicillin),1.0,1.0,,1.0,697.0,605.0,,,,615.0,722.0,722.0,945.0
Class A beta-lactamase (EC 3.5.2.6) => SHV family_1 (ampicillin),219.0,723.0,,160.0,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2 (ampicillin)",,,,,634.0,594.0,,,,2.0,263.0,263.0,590.0
"Transcriptional regulator of acrAB operon, AcrR_3 (ampicillin)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_1 (ampicillin)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_6 (ampicillin)",,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_2 (ampicillin)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarR_1 (ampicillin),,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_8 (ampicillin)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarA_1 (ampicillin),,,,,,,,,,,,,
"Transcriptional regulator of acrAB operon, AcrR_7 (ampicillin)",,,,,,,,,,,,,
Multiple antibiotic resistance protein MarB_2 (ampicillin),,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1 (ampicillin)",,,,,635.0,595.0,,,,3.0,264.0,264.0,591.0
"Transcriptional regulator of acrAB operon, AcrR_5 (ampicillin)",,,,,,,,,,,,,
AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump_2 (ampicillin),,,,,,,,,,,,,
DNA gyrase subunit A (EC 5.99.1.3)_1 (levofloxacin),,,595.0,,,,,,,,,,
DNA gyrase subunit B (EC 5.99.1.3)_2 (levofloxacin),,,732.0,,,,,,,,,,
Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10_1 (levofloxacin),,,,,,,,,656.0,,,,725.0
Pentapeptide repeat protein QnrB family_1 (levofloxacin),,,,,,,,,,,,,
Transcription-repair coupling factor_1 (ciprofloxacin),,,23.0,,,,,,,,,,
"Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)_1 (ciprofloxacin)",,,35.0,,,,,,,,,,
DNA gyrase subunit A (EC 5.99.1.3)_1 (ciprofloxacin),,,80.0,,,,,,,,,,
DNA gyrase subunit B (EC 5.99.1.3)_2 (ciprofloxacin),,,104.0,,,,,,,,,,
Lipid A export permease/ATP-binding protein MsbA_1 (ciprofloxacin),,,325.0,,,,,,,,,,
"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_4 (ciprofloxacin)",,,,,,,,,,,,,
"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_3 (ciprofloxacin)",,,,,,,,,,,,,
"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA_1 (ciprofloxacin)",,,986.0,,,,,,,,,,
"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE_5 (ciprofloxacin)",,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_3 (ciprofloxacin)",,,,,,,,,,,,,
"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_6 (ciprofloxacin)",,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_2 (ciprofloxacin)",,,,729.0,174.0,151.0,751.0,759.0,590.0,1.0,108.0,108.0,571.0
Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10_1 (ciprofloxacin),,,,,,,,,,,,,
Pentapeptide repeat protein QnrB family_1 (ciprofloxacin),,,,,,,,,,,,,
DNA-binding protein H-NS_6 (ciprofloxacin),,,,,,,,,,,,,
DNA-binding protein H-NS_1 (ciprofloxacin),,,,,,,,,,,,,
DNA-binding protein H-NS_7 (ciprofloxacin),,,,,,,,,,,,,
DNA-binding protein H-NS_3 (ciprofloxacin),,,,,,,,,,,,,
DNA-binding protein H-NS_5 (ciprofloxacin),378.0,509.0,,,,,,,,,,,
DNA-binding protein H-NS_2 (ciprofloxacin),,,,,,,,,,,,,
DNA-binding protein H-NS_4 (ciprofloxacin),,,,,,,,,,,,,
"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_5 (ciprofloxacin)",,,,,,,,,,,,,
"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM_1 (ciprofloxacin)",,978.0,,682.0,175.0,152.0,752.0,760.0,591.0,2.0,109.0,109.0,572.0
"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE_2 (ciprofloxacin)",,,,,,,,,,,,,
AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump_2 (ciprofloxacin),,,,,,,,,,,,,
